Iteracao Numerador Denominador Erro
75 63 20 0.008407346410206795
76 63 21 0.14159265358979312
77 64 21 0.09397360597074567
78 65 21 0.04635455835169777
79 66 21 0.0012644892673496777
80 66 22 0.14159265358979312
81 67 22 0.0961381081352477
82 68 22 0.05068356268070229
83 69 22 0.0052290172261568735
84 70 22 0.04022552822838854
85 70 23 0.0981143927202277
86 71 23 0.05463613185066274
87 72 23 0.011157870981097329
88 73 23 0.03232038988846764
89 73 24 0.0999259869231266
90 74 24 0.058259320256459635
91 75 24 0.016592653589793116
92 76 24 0.025074013076873403
93 76 25 0.10159265358979308
94 77 25 0.061592653589793045
95 78 25 0.02159265358979301
96 79 25 0.018407346410207026
97 79 26 0.10313111512825479
98 80 26 0.06466957666671602
99 81 26 0.026208038205177697
100 82 26 0.012253500256360628
101 82 27 0.10455561655275591
102 83 27 0.06751857951571916
103 84 27 0.030481542478681956
104 85 27 0.006555494558355246
105 85 28 0.10587836787550753
106 86 28 0.0701640821612215
107 87 28 0.03444979644693591
108 88 28 0.0012644892673496777
109 88 29 0.10710989496910361
110 89 29 0.07262713634841367
111 90 29 0.038144377727724166
112 91 29 0.0036616191070346638
113 92 29 0.030821139513655282
114 92 30 0.07492598692312624
115 93 30 0.04159265358979303
116 94 30 0.008259320256459812
117 95 30 0.025074013076873403
118 95 31 0.07707652455753511
119 96 31 0.044818460041406105
120 97 31 0.012560395525277102
121 98 31 0.019697668990851902
122 98 32 0.07909265358979312
123 99 32 0.047842653589793116
124 100 32 0.016592653589793116
125 101 32 0.014657346410206884
126 101 33 0.08098659298373256
127 102 33 0.05068356268070229
128 103 33 0.02038053237767201
129 104 33 0.009922497925358265
130 104 34 0.08276912417802862
131 105 34 0.05335735947214593
132 106 34 0.023945594766263678
133 107 34 0.00546616993961857
134 107 35 0.08444979644693618
135 108 35 0.05587836787550726
136 109 35 0.027306939304078792
137 110 35 0.0012644892673496777
138 110 36 0.08603709803423776
139 111 36 0.058259320256459635
140 112 36 0.030481542478681956
141 113 36 0.0027037647009042765
142 114 36 0.025074013076873403
143 114 37 0.060511572508711975
144 115 37 0.033484545481685224
145 116 37 0.006457518454658029
146 117 37 0.020569508572369166
147 117 38 0.06264528516874046
148 118 38 0.03632949569505639
149 119 38 0.010013706221371876
150 120 38 0.016302083252312194
151 120 39 0.06466957666671602
152 121 39 0.03902855102569047
153 122 39 0.013387525384664922
154 123 39 0.012253500256360628
155 123 40 0.06659265358979294
156 124 40 0.04159265358979303
157 125 40 0.016592653589793116
158 126 40 0.008407346410206795
159 126 41 0.06842192188247598
160 127 41 0.04403167798003693
161 128 41 0.019641434077597886
162 129 41 0.00474880982484116
163 129 42 0.0701640821612215
164 130 42 0.04635455835169777
165 131 42 0.022545034542174047
166 132 42 0.0012644892673496777
167 132 43 0.07182521172932788
168 133 43 0.04856939777583946
169 134 43 0.02531358382235105
170 135 43 0.0020577698688630797
171 136 43 0.021198044084625334
172 136 44 0.05068356268070229
173 137 44 0.02795628995342936
174 138 44 0.0052290172261568735
175 139 44 0.017498255501116056
176 139 45 0.0527037647009041
177 140 45 0.030481542478681956
178 141 45 0.008259320256459812
179 142 45 0.013962901965762331
180 142 46 0.05463613185066274
181 143 46 0.032897001415880034
182 144 46 0.011157870981097329
183 145 46 0.010581259453684932
184 145 47 0.05648627061106959
185 146 47 0.03520967486638904
186 147 47 0.013933079121708047
187 148 47 0.007343516622972945
188 148 48 0.058259320256459635
189 149 48 0.0374259869231266
190 150 48 0.016592653589793116
191 151 48 0.004240679743540365
192 151 49 0.059960000528568536
193 152 49 0.03955183726326261
194 153 49 0.019143673997956245
195 154 49 0.0012644892673496777
196 154 50 0.061592653589793045
197 155 50 0.04159265358979303
198 156 50 0.02159265358979301
199 157 50 0.0015926535897929917
200 158 50 0.018407346410207026
201 158 51 0.04355343790351851
202 159 51 0.023945594766263678
203 160 51 0.004337751629008846
204 161 51 0.015270091508245986
205 161 52 0.04543880743594686
206 162 52 0.026208038205177697
207 163 52 0.006977268974408535
208 164 52 0.012253500256360628
209 164 53 0.04725303094828348
210 165 53 0.02838510641998182
211 166 53 0.009517181891679716
212 167 53 0.009350742636621945
213 167 54 0.049000060997200556
214 168 54 0.030481542478681956
215 169 54 0.011963023960163355
216 170 54 0.006555494558355246
217 170 55 0.05068356268070229
218 171 55 0.03250174449888421
219 172 55 0.01431992631706569
220 173 55 0.003861891864752387
221 173 56 0.0523069393040787
222 174 56 0.03444979644693591
223 175 56 0.016592653589793116
224 176 56 0.0012644892673496777
225 176 57 0.05387335534417925
226 177 57 0.03632949569505639
227 178 57 0.01878563604593353
228 179 57 0.0012417763968106676
229 180 57 0.016302083252312194
230 180 58 0.038144377727724166
231 181 58 0.020902998417379415
232 182 58 0.0036616191070346638
233 183 58 0.013579760203310531
234 183 59 0.039897738335555655
235 184 59 0.02294858579318282
236 185 59 0.005999433250809982
237 186 59 0.010949719291562854
238 186 60 0.04159265358979303
239 187 60 0.02492598692312642
240 188 60 0.008259320256459812
